Feature,importance
ID-板温**1/2,0
ID/现场温度**2,2
ID*现场温度**2,2
ID+现场温度**2,0
ID-现场温度**2,0
ID/现场温度**1/2,1
ID*现场温度**1/2,0
ID+现场温度**1/2,0
ID-现场温度**1/2,0
ID/光照强度**2,4
ID*光照强度**2,0
ID+光照强度**2,1
ID-光照强度**2,1
ID/光照强度**1/2,3
ID*光照强度**1/2,0
ID+光照强度**1/2,0
ID-光照强度**1/2,0
ID/转换效率**2,0
ID*转换效率**2,0
ID+转换效率**2,1
ID-转换效率**2,0
ID/转换效率**1/2,0
ID*转换效率**1/2,12
ID+转换效率**1/2,0
ID-转换效率**1/2,0
ID/转换效率A**2,0
ID*转换效率A**2,7
ID+转换效率A**2,0
ID-转换效率A**2,0
ID/转换效率A**1/2,0
ID*转换效率A**1/2,0
ID+转换效率A**1/2,0
ID-转换效率A**1/2,0
ID/转换效率B**2,0
ID*转换效率B**2,6
ID+转换效率B**2,1
ID-转换效率B**2,0
ID/转换效率B**1/2,0
ID*转换效率B**1/2,0
ID+转换效率B**1/2,0
ID-转换效率B**1/2,0
ID/转换效率C**2,0
ID*转换效率C**2,10
ID+转换效率C**2,2
ID-转换效率C**2,0
ID/转换效率C**1/2,0
ID*转换效率C**1/2,8
ID+转换效率C**1/2,0
ID-转换效率C**1/2,0
ID/电压A**2,0
ID*电压A**2,0
ID+电压A**2,1
ID-电压A**2,0
ID/电压A**1/2,0
ID*电压A**1/2,0
ID+电压A**1/2,0
ID-电压A**1/2,0
ID/电压B**2,1
ID*电压B**2,0
ID+电压B**2,0
ID-电压B**2,1
ID/电压B**1/2,0
ID*电压B**1/2,0
ID+电压B**1/2,0
ID-电压B**1/2,0
ID/电压C**2,0
ID*电压C**2,0
ID+电压C**2,0
ID-电压C**2,0
ID/电压C**1/2,0
ID*电压C**1/2,0
ID+电压C**1/2,0
ID-电压C**1/2,0
ID/电流A**2,0
ID*电流A**2,0
ID+电流A**2,0
ID-电流A**2,0
ID/电流A**1/2,0
ID*电流A**1/2,1
ID+电流A**1/2,0
ID-电流A**1/2,0
ID/电流B**2,0
ID*电流B**2,0
ID+电流B**2,0
ID-电流B**2,0
ID/电流B**1/2,0
ID*电流B**1/2,0
ID+电流B**1/2,0
ID-电流B**1/2,0
ID/电流C**2,2
ID*电流C**2,1
ID+电流C**2,0
ID-电流C**2,0
ID/电流C**1/2,0
ID*电流C**1/2,0
ID+电流C**1/2,0
ID-电流C**1/2,0
ID/功率A**2,2
ID*功率A**2,0
ID+功率A**2,0
ID-功率A**2,0
ID/功率A**1/2,1
ID*功率A**1/2,0
ID+功率A**1/2,0
ID-功率A**1/2,0
ID/功率B**2,0
ID*功率B**2,0
ID+功率B**2,0
ID-功率B**2,0
ID/功率B**1/2,1
ID*功率B**1/2,0
ID+功率B**1/2,0
ID-功率B**1/2,0
ID/功率C**2,2
ID*功率C**2,1
ID+功率C**2,0
ID-功率C**2,0
ID/功率C**1/2,0
ID*功率C**1/2,0
ID+功率C**1/2,0
ID-功率C**1/2,0
ID/平均功率**2,0
ID*平均功率**2,0
ID+平均功率**2,0
ID-平均功率**2,0
ID/平均功率**1/2,0
ID*平均功率**1/2,1
ID+平均功率**1/2,0
ID-平均功率**1/2,0
ID/风速**2,1
ID*风速**2,1
ID+风速**2,0
ID-风速**2,0
ID/风速**1/2,3
ID*风速**1/2,1
ID+风速**1/2,0
ID-风速**1/2,0
ID/风向**2,4
ID*风向**2,1
ID+风向**2,4
ID-风向**2,6
ID/风向**1/2,5
ID*风向**1/2,1
ID+风向**1/2,0
ID-风向**1/2,0
板温/现场温度,17
板温*现场温度,20
板温+现场温度,0
板温-现场温度,401
板温/光照强度,4
板温*光照强度,1
板温+光照强度,0
板温-光照强度,1
板温/转换效率,0
板温*转换效率,1
板温+转换效率,15
板温-转换效率,0
板温/转换效率A,1
板温*转换效率A,2
板温+转换效率A,13
板温-转换效率A,0
板温/转换效率B,1
板温*转换效率B,3
板温+转换效率B,9
板温-转换效率B,0
板温/转换效率C,0
板温*转换效率C,1
板温+转换效率C,16
板温-转换效率C,0
板温/电压A,0
板温*电压A,0
板温+电压A,1
板温-电压A,1
板温/电压B,0
板温*电压B,0
板温+电压B,5
板温-电压B,0
板温/电压C,1
板温*电压C,0
板温+电压C,0
板温-电压C,0
板温/电流A,0
板温*电流A,2
板温+电流A,0
板温-电流A,0
板温/电流B,0
板温*电流B,0
板温+电流B,0
板温-电流B,0
板温/电流C,0
板温*电流C,0
板温+电流C,0
板温-电流C,1
板温/功率A,0
板温*功率A,0
板温+功率A,6
板温-功率A,2
板温/功率B,0
板温*功率B,0
板温+功率B,0
板温-功率B,0
板温/功率C,1
板温*功率C,1
板温+功率C,0
板温-功率C,1
板温/平均功率,0
板温*平均功率,0
板温+平均功率,2
板温-平均功率,0
板温/风速,12
板温*风速,4
板温+风速,2
板温-风速,3
板温/风向,2
板温*风向,8
板温+风向,2
板温-风向,1
板温/Unnamed: 0**2,0
板温*Unnamed: 0**2,3
板温+Unnamed: 0**2,0
板温-Unnamed: 0**2,0
板温/Unnamed: 0**1/2,2
板温*Unnamed: 0**1/2,1
板温+Unnamed: 0**1/2,3
板温-Unnamed: 0**1/2,9
板温/ID**2,1
板温*ID**2,2
板温+ID**2,0
板温-ID**2,0
板温/ID**1/2,0
板温*ID**1/2,0
板温+ID**1/2,1
板温-ID**1/2,3
板温/板温**2,4
板温*板温**2,0
板温+板温**2,0
板温-板温**2,1
板温/板温**1/2,0
板温*板温**1/2,0
板温+板温**1/2,0
板温-板温**1/2,1
板温/现场温度**2,4
板温*现场温度**2,4
板温+现场温度**2,3
板温-现场温度**2,6
板温/现场温度**1/2,5
板温*现场温度**1/2,0
板温+现场温度**1/2,2
板温-现场温度**1/2,2
板温/光照强度**2,6
板温*光照强度**2,1
板温+光照强度**2,0
板温-光照强度**2,0
板温/光照强度**1/2,2
板温*光照强度**1/2,1
板温+光照强度**1/2,0
板温-光照强度**1/2,7
板温/转换效率**2,1
板温*转换效率**2,5
板温+转换效率**2,0
板温-转换效率**2,0
板温/转换效率**1/2,1
板温*转换效率**1/2,1
板温+转换效率**1/2,2
板温-转换效率**1/2,3
板温/转换效率A**2,1
板温*转换效率A**2,5
板温+转换效率A**2,0
板温-转换效率A**2,2
板温/转换效率A**1/2,0
板温*转换效率A**1/2,0
板温+转换效率A**1/2,2
板温-转换效率A**1/2,0
板温/转换效率B**2,0
板温*转换效率B**2,13
板温+转换效率B**2,0
板温-转换效率B**2,0
板温/转换效率B**1/2,0
板温*转换效率B**1/2,0
板温+转换效率B**1/2,0
板温-转换效率B**1/2,0
板温/转换效率C**2,1
板温*转换效率C**2,12
板温+转换效率C**2,0
板温-转换效率C**2,0
板温/转换效率C**1/2,0
板温*转换效率C**1/2,1
板温+转换效率C**1/2,1
板温-转换效率C**1/2,0
板温/电压A**2,0
板温*电压A**2,0
板温+电压A**2,0
板温-电压A**2,0
板温/电压A**1/2,0
板温*电压A**1/2,0
板温+电压A**1/2,0
板温-电压A**1/2,0
板温/电压B**2,1
板温*电压B**2,0
板温+电压B**2,0
板温-电压B**2,0
板温/电压B**1/2,0
板温*电压B**1/2,0
板温+电压B**1/2,0
板温-电压B**1/2,1
板温/电压C**2,3
板温*电压C**2,0
板温+电压C**2,1
板温-电压C**2,0
板温/电压C**1/2,0
板温*电压C**1/2,0
